summary|front_content|back_content
Unit of Work Definition|Unit of Work (184)|Maintains a list of objects affected by a business transaction and coordinates the writing out of changes and the resolution of concurrency problems.
Identity Map Definition|Identity Map (195)|Ensures that each object gets loaded only once by keeping every loaded object in a map. Looks up objects using the map when referring to them.
Lazy Load Definition|Lazy Load (200)|An object that doesn't contain all of the data you need but knows how to get it.
