summary,front_content,back_content
Table Data Gateway Definition|Table Data Gateway (144)|An object that acts as a Gateway (466) to a database table. One instance handles all the rows in the table.
Row Data Gateway Definition|Row Data Gateway (152)|An object that acts as a Gateway (466) to a single record in a data source. There is one instance per row.
Active Record Definition|Active Record (160)|An object that wraps a row in a database table or view, encapsulates the database access, and adds domain logic on that data.
Data Mapper Definition|Data Mapper (165)|A layer of Mappers (473) that moves data between objects and a database while keeping them independent of each other and the mapper itself.
